[-246.],[ 0. 66.  0.  0.  0.  0.  0.  0.],[80.  0. 70. 50. 42. 20. 30. 20.]
[-201.4],[ 0.  32.   0.   0.   0.  11.2  0.  45.4],[80.  0. 80. 50. 70.  0. 10.  0.]
[-236.6],[ 0.  38.   0.   0.   0.   0.   0.  21.4],[90.  0. 70. 70. 16. 20. 30.  0.]
[-307.4],[ 0.  44.   0.   0.   0.  40.6  0.   0. ],[80.  0. 80. 70. 72.  0. 20. 70.]
[-235.32],[ 0.   76.    0.    0.   19.88 20.8   0.    0.  ],[100.   0.  70.  70.   2.   0.  30.  80.]
[-288.12],[ 0.   40.    0.    0.   20.68  2.2   0.    1.  ],[100.   0.  80.  90.  52.   0.  30.   0.]
[-345.68],[ 0.    0.    0.    0.   19.12  5.2   0.    0.  ],[100.   0.  90.  70.   0.   0.  30.  80.]
[-215.8],[ 0.   0.   0.   0.  61.6  0.   0.  22.6],[80. 20. 80. 80.  0. 20. 20.  0.]
[-384.],[ 0. 52.  0.  0.  0.  0.  0.  0.],[100.   0.  70.  80.  56.  20.  30.  80.]
[-362.8],[ 0.  54.   0.   0.   0.  17.2  0.   0. ],[90.  0. 90. 70. 74.  0. 30. 80.]
