[-326.68],[ 0.    0.    0.    0.   53.32  0.    0.    0.  ],[30. 10. 10. 90.  0. 80. 80. 80.]
[-291.92],[90.    0.    0.    0.   68.08  0.    0.    0.  ],[  0.  10. 100.  70.   0. 100. 100.  70.]
[-254.84],[ 0.   74.    0.    0.   81.16  0.    0.    0.  ],[ 10.   0.  80.  60.   0.  80. 100.  80.]
[-164.96],[90.    0.    0.    0.   75.04  0.    0.    0.  ],[ 0. 10. 20. 70.  0. 80. 70. 80.]
[-218.08],[ 0.   82.    0.    0.   89.92  0.    0.    0.  ],[ 10.   0.  80.  60.   0. 100.  70.  70.]
[-247.6],[90.   0.   0.   0.  72.4  0.   0.   0. ],[  0.  10.  60.  70.   0. 100.  90.  80.]
[-316.72],[ 0.    0.    0.    0.   63.28  0.    0.    0.  ],[20. 10. 70. 70.  0. 90. 40. 80.]
[-180.88],[ 0.   72.    0.    0.   67.12  0.    0.    0.  ],[10.  0. 60. 70.  0. 80. 30. 70.]
[-6.2],[90.  76.  34.   0.  53.8  0.   0.   0. ],[  0.   0.   0.  70.   0. 100.  20.  70.]
[-39.4],[90.  76.   8.   0.  76.6  0.   0.   0. ],[ 0.  0.  0. 70.  0. 80. 70. 70.]
