[-107.32],[ 0.   76.    0.    0.   44.08  0.    0.   22.6 ],[80.  0. 40. 30.  0. 90. 10.  0.]
[-88.48],[ 0.   68.    0.    0.   56.32  0.    0.   17.2 ],[80.  0. 40. 10.  0. 90. 10.  0.]
[-262.12],[ 0.   46.    0.   33.4  88.48  0.    0.    0.  ],[ 50.   0.  70.   0.  70. 100.  90.  50.]
[-188.6],[ 0.  66.   0.   0.   0.   0.   0.  81.4],[70.  0. 90. 10. 76. 60. 30.  0.]
[-378.],[0. 2. 0. 0. 0. 0. 0. 0.],[80.  0. 50. 20. 60. 50. 40. 80.]
[-155.16],[ 0.   30.    0.   22.6  40.24  0.    0.   52.  ],[60.  0. 80.  0.  0. 80. 80.  0.]
[-203.64],[ 0.    0.    0.    0.   33.76  0.    0.   52.6 ],[90. 20. 60. 10.  0. 80. 30.  0.]
[-330.4],[ 0.   0.   0.   0.   0.   0.   0.  55.6],[70. 20. 80. 30. 76. 70. 40.  0.]
[-332.],[ 0. 26.  0.  0.  0.  0.  0.  0.],[70.  0. 90. 30. 48. 40. 20. 60.]
[-198.44],[ 0.   44.    0.    0.   47.56  0.    0.    0.  ],[80.  0. 70. 30.  0. 70. 10. 30.]
