[-286.96],[ 0.    0.    0.    0.   12.84  0.    0.   20.2 ],[100.  20.  70.  50.  10.  40.  30.   0.]
[-29.96],[ 0.   90.    0.    0.   47.44  0.    0.   22.6 ],[80.  0. 40. 30.  0. 20. 20.  0.]
[-119.4],[ 0.  58.   0.   0.  40.   0.   0.  22.6],[80.  0. 70. 40.  0. 30. 20.  0.]
[-233.76],[ 0.   32.    0.    0.   34.24  0.    0.    0.  ],[70.  0. 90. 40.  0. 10. 20. 70.]
[-302.4],[ 0.  60.   0.   0.   0.  19.6  0.   0. ],[80.  0. 80. 60. 72.  0. 20. 70.]
[-64.4],[ 0.  84.   0.   0.  47.8  0.   0.  23.8],[80.  0. 70. 40.  0. 20. 10.  0.]
[-87.04],[ 0.   44.    0.    0.   46.36  0.    0.   52.6 ],[70.  0. 60. 40.  0. 30. 30.  0.]
[-56.24],[ 0.   74.    0.    0.   57.16  0.    0.   22.6 ],[80.  0. 60. 30.  0. 30. 10.  0.]
[-207.56],[ 0.    0.    0.    0.   49.84  0.    0.   22.6 ],[80. 40. 80. 30.  0. 30. 20.  0.]
[-135.],[ 0.  38.   0.   0.   0.   4.  30.4 16.6],[80.  0. 40. 30. 74.  0.  0.  0.]
