[-94.12],[ 0.   40.    0.    0.   39.88  0.   67.   49.  ],[60.  0. 90. 50.  0. 90.  0.  0.]
[-195.2],[ 0.  48.   0.   0.   0.   0.  56.8 46. ],[ 70.   0.  80.  40.  56. 100.   0.   0.]
[-296.2],[ 0.  66.   0.   0.   0.   0.  11.2 22.6],[80.  0. 70. 90. 76. 80.  0.  0.]
[-118.84],[ 0.   24.    0.    0.   35.56  0.   56.8  44.8 ],[70.  0. 90. 60.  0. 60.  0.  0.]
[-206.6],[ 0.  66.   0.   0.   0.   0.  41.2 50.2],[ 80.   0.  90.  50.  44. 100.   0.   0.]
[-174.08],[ 0.    4.    0.    0.   13.52  0.   25.   45.4 ],[80.  0. 70. 50.  2. 60.  0.  0.]
[-205.],[ 0.  34.   0.   0.   0.   0.  67.6 45.4],[80.  0. 80. 70. 42. 80.  0.  0.]
[-180.24],[ 0.   40.    0.    0.    3.56  0.   65.2  49.  ],[ 80.   0.  70.  80.   8. 100.   0.   0.]
[-210.32],[ 0.   36.    0.    0.   88.48  0.   42.4   8.8 ],[80.  0. 80. 70. 76. 80.  0.  0.]
[-53.48],[ 0.   90.    0.    0.   47.12  0.   64.   45.4 ],[ 80.   0.  60.  40.  20. 100.   0.   0.]
