[-77.52],[ 0.   22.    0.    0.   60.88  0.    0.   19.6 ],[80.  0. 30. 30.  0. 20. 20.  0.]
[-146.24],[ 0.   48.    0.    0.    2.56  0.    0.   53.2 ],[70.  0. 50. 50. 10. 50. 20.  0.]
[-96.8],[ 0.  32.   0.   0.  56.2  0.   0.  25. ],[80.  0. 30. 40.  0. 50. 10.  0.]
[-89.76],[ 0.   74.    0.    0.   46.24  0.    0.    0.  ],[70.  0. 10. 60.  0. 20. 20. 30.]
[-60.64],[ 0.   72.    0.    0.   54.76  0.    0.   22.6 ],[70.  0. 40. 40.  0. 50. 10.  0.]
[-161.24],[ 0.   46.    0.    0.   42.76  0.    0.    0.  ],[80.  0. 30. 40.  0. 20. 10. 70.]
[-144.76],[ 0.   74.    6.    0.   55.24  0.    0.    0.  ],[70.  0.  0. 70.  0. 20. 30. 90.]
[-48.24],[ 0.   62.    0.    0.   57.16  0.    0.   22.6 ],[70.  0. 40. 40.  0. 30. 10.  0.]
