[-294.92],[ 0.    0.    0.    0.   72.88  2.2   0.    0.  ],[ 30.  80.  90.  60.   0.   0. 100.  10.]
[-306.16],[ 0.    0.    0.    0.   73.84  0.    0.    0.  ],[ 20.  80.  30.  90.   0.  30. 100.  30.]
[-325.64],[ 0.    0.    0.    0.   64.36  0.    0.    0.  ],[ 20. 100.  60.  60.   0.  20. 100.  30.]
[-352.52],[ 0.    0.    0.    0.   72.88  4.6   0.    0.  ],[ 20.  80.  70.  80.   0.   0. 100.  80.]
[-275.44],[ 0.    0.    0.    0.   74.56  0.    0.    0.  ],[ 10.  80.  30.  90.   0.  10. 100.  30.]
[-316.4],[ 0.   0.   0.   0.  73.6  0.   0.   0. ],[ 30.  80.  30.  90.   0.  20. 100.  40.]
[-202.84],[ 0.    0.    0.    0.   60.16  0.   67.    0.  ],[10. 50. 70. 70.  0. 50.  0. 80.]
[-366.64],[ 0.    0.    0.    0.   73.36  0.    0.    0.  ],[ 30.  80.  30.  90.   0.  30. 100.  80.]
[-207.4],[ 0.   0.   0.   0.  74.2 19.   0.   9.4],[ 30.  80.  30.  60.   0.   0. 100.  10.]
[-113.76],[80.    0.    0.    0.   71.44  0.    0.   44.8 ],[ 30.  80.  30.  50.   0.  20. 100.   0.]
